,start_time,end_time,diameter
0,2005-08-02 20:45:00,2005-08-03 00:15:00,11.2
1,2005-08-03 03:15:00,2005-08-03 05:15:00,11.2
2,2005-08-03 06:45:00,2005-08-03 09:15:00,11.2
3,2005-08-03 09:45:00,2005-08-03 13:15:00,11.2
4,2005-08-04 19:45:00,2005-08-05 01:15:00,11.2
5,2005-08-02 20:45:00,2005-08-03 00:15:00,12.6
6,2005-08-03 02:15:00,2005-08-03 05:15:00,12.6
7,2005-08-03 06:45:00,2005-08-03 09:15:00,12.6
8,2005-08-03 09:15:00,2005-08-03 13:15:00,12.6
9,2005-08-03 15:15:00,2005-08-03 18:45:00,12.6
10,2005-08-04 19:45:00,2005-08-04 23:15:00,12.6
11,2005-08-02 20:45:00,2005-08-03 00:45:00,14.1
12,2005-08-03 02:15:00,2005-08-03 05:15:00,14.1
13,2005-08-03 06:45:00,2005-08-03 09:15:00,14.1
14,2005-08-03 09:15:00,2005-08-03 14:15:00,14.1
15,2005-08-03 15:15:00,2005-08-03 19:15:00,14.1
16,2005-08-04 19:45:00,2005-08-04 23:15:00,14.1
17,2005-08-02 20:45:00,2005-08-03 00:45:00,15.799999999999999
18,2005-08-03 02:15:00,2005-08-03 05:15:00,15.799999999999999
19,2005-08-03 06:45:00,2005-08-03 09:15:00,15.799999999999999
20,2005-08-03 09:15:00,2005-08-03 14:15:00,15.799999999999999
21,2005-08-03 14:45:00,2005-08-03 19:45:00,15.799999999999999
22,2005-08-04 19:45:00,2005-08-04 23:45:00,15.799999999999999
23,2005-08-02 20:45:00,2005-08-03 00:45:00,17.8
24,2005-08-03 02:15:00,2005-08-03 05:45:00,17.8
25,2005-08-03 06:15:00,2005-08-03 09:15:00,17.8
26,2005-08-03 09:15:00,2005-08-03 14:15:00,17.8
27,2005-08-03 14:45:00,2005-08-03 20:45:00,17.8
28,2005-08-04 20:15:00,2005-08-04 23:45:00,17.8
29,2005-08-02 20:45:00,2005-08-03 00:45:00,20.0
30,2005-08-03 02:15:00,2005-08-03 05:45:00,20.0
31,2005-08-03 06:15:00,2005-08-03 09:45:00,20.0
32,2005-08-03 09:45:00,2005-08-03 14:15:00,20.0
33,2005-08-03 14:45:00,2005-08-03 21:45:00,20.0
34,2005-08-04 16:15:00,2005-08-04 18:45:00,20.0
35,2005-08-04 20:15:00,2005-08-04 23:45:00,20.0
36,2005-08-02 20:45:00,2005-08-03 00:45:00,22.4
37,2005-08-03 02:15:00,2005-08-03 05:15:00,22.4
38,2005-08-03 05:45:00,2005-08-03 09:45:00,22.4
39,2005-08-03 09:45:00,2005-08-03 14:45:00,22.4
40,2005-08-03 14:45:00,2005-08-03 22:15:00,22.4
41,2005-08-04 16:45:00,2005-08-04 18:45:00,22.4
42,2005-08-04 20:15:00,2005-08-05 00:45:00,22.4
43,2005-08-02 20:45:00,2005-08-03 00:45:00,25.1
44,2005-08-03 02:15:00,2005-08-03 05:15:00,25.1
45,2005-08-03 05:45:00,2005-08-03 10:15:00,25.1
46,2005-08-03 10:15:00,2005-08-03 14:15:00,25.1
